Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:27 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:28 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:29 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:29 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:29 AM', MESSAGE='Incorrect syntax near 'Luong'.']
CustCustom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:29 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
